user,item,price,quantity
Meriel,Diogenes,882.08,74
Lacie,Suanne,616.57,13
Gwenneth,Lail,460.46,75
Paulita,Harl,875.25,27
Amalie,Narton,550.16,41
Tina,Hanshaw,362.4,88
Mary,Gemini,986.83,27
Bernie,Alcott,629.9,28
Christy,Buttaro,586.9,14
Kimmy,Cristi,421.05,90
Aryn,Toor,331.37,71
Debee,Sandye,189.64,32
Susan,Linehan,844.33,88
Aimil,Tomasina,189.13,82
Talya,Braun,548.74,45
Modestia,Iphlgenia,499.94,66
Iseabal,Gavrila,656.22,57
Consuela,Delila,829.68,41
Gabi,Verger,254.92,75
Latisha,Imelida,961.29,75
Mireielle,Nester,967,96
Collen,Curren,418.24,76
Dulcinea,Cookie,414.1,90
Beth,Sidonius,567.2,69
Rayna,Turne,617.82,50
Linet,Lytton,506.45,94
Melodie,Center,230.74,13
Sam,Shuler,473.12,42
Alex,Bigner,709.88,24
Kassey,Strephon,246.45,37
Minne,Viddah,204.84,52
Linzy,Pillsbury,962.52,64
Kassey,Chauncey,813.21,90
Edee,Ailyn,363.11,76
Sidoney,Burnside,959.18,85
Luci,Norrie,269.64,99
Krystle,Peti,444.93,30
Drucie,Honoria,868.47,86
Mady,Thilda,609.05,55
Priscilla,Ivens,930.3,36
Helena,Ashely,708.02,38
Dorice,Telfer,599.63,78
Almeta,Bandeen,789.61,71
Rosene,Faria,616.13,98
Fina,Schalles,789.16,59
Jsandye,Peg,581.48,12
Ayn,Eiser,487.06,63
Nonnah,Marijo,670.73,75
Marcy,Poppy,868.38,52
Corry,Martsen,381.52,67
Betta,Holtz,929.37,33
Kathi,Cordi,305,95
Elie,Burnside,305.95,25
Sabina,Norrie,729.55,42
Yolane,Sancho,234.3,14
Fanny,Claudine,946.94,42
Merrie,Friede,631.73,28
Cassondra,Andrel,885.63,43
Annora,Presber,177.65,88
Cam,Thunell,972.04,96
Lynde,Saunderson,994.99,17
Elvira,Curren,249.62,24
Sean,Elbertina,314.36,65
Carolina,Letsou,621.58,41
Meghann,Ries,702.16,98
Justinn,Publia,524.74,76
Adele,Schenck,739.19,54
Ingrid,Milde,482.22,43
Odessa,Frendel,458.06,22
Joane,Remmer,658.96,90
Berta,Juliet,106.66,76
Angela,Zuzana,359.92,17
Fernande,Jacinda,739.1,96
Judy,MacIntosh,314.83,60
Siana,Zola,265.38,11
Penelopa,Sasnett,178.28,47
Annaliese,Frendel,390.87,38
Melodie,Wildermuth,494.84,80
Arlina,Berriman,739.45,28
Ebonee,Delacourt,281.39,32
Zaria,Leler,522.14,57
Gretal,Halsey,347.46,45
Deane,Shanley,895.12,17
Nessie,Westphal,476.47,32
Teriann,Belldas,843.18,94
Pierette,Gahl,420.18,97
Giustina,Vale,267.51,62
Amii,Chapland,535.56,66
Sherrie,Creamer,101.08,18
Tonia,Boycey,807.82,57
Myrtice,Brittani,881.49,28
Riannon,Kazimir,793.55,16
Ayn,Fillbert,206,84
Dari,Arquit,827.77,47
Ketti,Dex,493.15,10
Annora,Koehler,345.54,46
Norine,Voletta,992.76,18
Wileen,Maroney,286.52,22
Morganica,Dom,779.28,59
Sidoney,Fulmer,839.27,13
Chastity,Gemini,742.95,51
Charissa,Macey,347.09,30
Henriette,Geffner,596.11,83
Marcy,Roumell,325.03,96
Yetty,Othilia,552.33,99
Betta,Letsou,471.92,15
Annora,Sasnett,721.4,49
Jany,Hewitt,562.67,35
Tarra,Sikorski,418.29,84
Carol-Jean,Levey,948.03,29
Charlena,Edee,155.63,55
Ricky,Monaco,203.53,88
Gusella,Amasa,658.67,36
Augustine,Marisa,225.55,25
Brietta,Brandice,821.26,22
Katharina,Pond,364.04,12
Flory,Dearborn,846.25,21
Eve,Ashok,176.42,73
Rosanne,Erich,631.15,64
Jordan,Lauraine,489.85,92
Demetris,Breed,119.62,47
Cyb,Joseph,989.85,87
Katuscha,Regan,680.47,89
Christy,Carlson,289.3,88
Genevra,Schonfeld,570.33,44
Leia,Gino,983.08,95
Dari,Larochelle,776.45,75
Queenie,Hull,257.4,45
Tori,Ivens,704.84,86
Roxane,O'Neill,184.47,26
Ernesta,Khorma,420.7,51
Carmela,Aldric,194.39,24
Kristina,Ax,146.68,100
Edith,Regan,348,64
Alie,Martsen,160.14,55
Shannah,Anton,555.72,98
Bertine,Grobe,760.11,79
Lily,McAdams,761.21,31
Jinny,Montgomery,753.62,68
Cassondra,Maurine,172.92,74
Lonnie,Silvan,283.68,57
Cordi,Means,359.1,68
Monika,Sundin,289.65,46
Albertina,Corrine,423.78,91
Theodora,Cecile,855.19,81
Felice,Ackerley,615.76,56
Inga,Brackely,222.71,37
Caressa,Vorster,404.26,55
Kristina,Dawkins,219.27,16
Abbie,Dash,686.97,97
Giustina,Cordi,463.29,91
Merci,Sheng,663.97,71
Nanete,Seagraves,380.98,60
Willetta,Holtz,494.6,29
Malina,Janith,172.66,14
Kathy,Gusella,113.25,67
Benita,Boehike,946.26,41
Kathy,Giule,302.37,43
Madalyn,Pillsbury,521.82,86
Albertina,Latini,659.84,76
Sybille,Sibyls,662.27,18
Riannon,Tannie,528.66,27
Darci,Randene,352.84,59
Marleah,Killigrew,331.46,83
Gale,Sperling,740.44,48
Evita,Halsey,403.6,20
Raina,Shields,932.51,26
Di,Shuler,250.01,98
Roseline,Thilda,365.33,98
Misha,Barrus,818.99,40
Evita,Anastatius,846.65,69
Melina,Atonsah,861.02,84
Corly,Jerold,526.69,75
Caressa,Libna,313.93,60
Blinni,Franza,501.78,24
Darlleen,Grosz,980.22,51
Phedra,Bouchard,148.89,70
Tani,Masao,225.17,45
Darci,Roscoe,600.35,86
Leeanne,Nea,905.99,11
Leona,Trace,580.17,59
Keelia,Liva,151.11,24
Noelle,Vins,568.49,13
Dode,Goode,544.4,79
Anallese,Rad,651.87,47
Kayla,Rugen,594.13,55
Hayley,Carey,562.67,29
Kaia,Voletta,534.83,36
Beatriz,Gower,883.29,23
Kathy,Plato,218.85,85
Edyth,Gillan,241.52,40
Tabbatha,Maples,934.14,58
Clary,Wu,792.52,71
Netty,Marden,127.78,95
Fina,Hoenack,755.99,12
Neila,Gino,792.31,63
Joane,Eldrid,929.56,10
Goldie,Wandie,933.85,57
Millie,Vins,620.39,91
Renie,Alexandr,399.62,65
Grier,Wenoa,456.61,84
Kassey,Burch,689.04,72
Deloria,Ruvolo,254.23,53
Eadie,Mozelle,108.34,71
Carol-Jean,Maxi,592.94,30
Bobinette,Kannry,910.02,18
Pollyanna,Jary,612.65,38
Edyth,Delp,916.87,20
Gilda,Merell,520.49,52
Arlina,Fleeta,608.83,11
Danny,Emmy,333.08,74
Ricky,Stav,572.56,78
Patricia,Boehike,809.8,12
Luci,Shuler,208.68,20
Deane,Susannah,838.13,21
Riannon,Maryanne,420.17,39
Corry,Halla,777.52,22
Nonnah,Shaddock,891.99,94
Corene,Nance,119.65,80
Chandra,Bord,732.18,74
Sybille,Alva,157.2,14
Kial,Chaing,314.36,100
Leeanne,Shuler,754.97,33
Kimmy,Stuart,151.26,46
Dorothy,Dowski,300.85,27
Sadie,Kenney,222.98,20
Bernie,Suanne,237.37,62
Maridel,McAdams,982.12,53
Andree,Persse,909.29,15
Estell,Dermott,484.63,21
Jere,Wareing,115.83,45
Rivalee,Anselmi,730.24,12
Barbara,Velick,615.37,43
Janenna,Haerr,434.42,28
Sharlene,Mintz,338.59,42
Magdalena,Albertine,573.91,95
Hannis,Burkle,770.25,86
Rosabelle,Raul,478.42,18
Hallie,Ailyn,852.5,77
Edith,Croix,908.31,18
Marita,Verger,362.72,48
Priscilla,Blake,253.2,28
Berta,Kravits,890.22,63
Paule,Tice,826.13,40
Kimmy,Jarib,160.98,62
Myrtice,Gower,248.86,25
Drucie,Dannye,251.38,68
Marjie,Middleton,110.47,93
Orsola,Thunell,882.31,50
Emelina,Fontana,545.39,89
Clary,Annabella,690.45,73
Nollie,Tomasina,803.13,69
Hallie,Melony,778.09,49
Carilyn,Fry,673.46,61
Pierette,Macey,438.62,21
Robinia,Justinn,274.71,18
Melina,Hartnett,895.7,33
Krystle,Liva,585.96,13
Merci,Kussell,915.44,89
Zaria,Raseda,981.48,99
Chastity,Lia,542.56,53
Nanete,Birdella,843.96,82
Bobbi,Briney,459.24,64
Alameda,Kinnard,460.4,63
Lelah,Taima,566.67,18
Alie,Beniamino,157.53,32
Ermengarde,Clywd,774.04,38
Carree,Fitzsimmons,371.22,46
Joelly,Joni,438.89,78
Mariann,Raimondo,293.82,21
Christian,Margret,311.57,41
Briney,Wilkinson,494.23,22
Marleah,Jehu,376.31,91
Lonnie,Bobbee,483.06,63
Aubrie,Aurelio,558,98
Jennica,Thema,579.81,75
Monika,Tengdin,496.62,85
Amalie,Colyer,271.97,70
Alyda,Dielu,540.91,97
Brietta,Schwejda,746.76,80
Bobinette,Desai,421.42,75
Blondelle,Chabot,870.07,38
Candi,Georgy,549.07,21
Tabbatha,Creamer,160.6,76
Minda,Othilia,850.33,54
Margalo,Marden,511.36,67
Cassondra,Standing,349.93,24
Allyce,Joachim,140.54,82
Angela,Bohlin,348.58,48
Renae,Ledah,378.48,91
Lenna,Septima,532.35,61
Raquela,Pond,320.55,69
Kamilah,Saint,922.11,49
Patricia,Cynar,710.84,36
Aurore,Jena,789.65,21
Mariele,Joni,646.61,67
Cam,Syd,540.75,95
Marleah,Dituri,101.49,92
Alia,Orlene,673.02,57
Edith,Giff,249.5,49
Allis,Jenness,878.63,10
Alejandra,Romelda,918.74,99
Pollyanna,Harday,965.56,12
Gerianna,Calhoun,478.54,69
Arlena,Dorcy,137.98,12
Andree,Thilda,534.25,27
Lulita,Evvie,307.15,98
Steffane,O'Rourke,913.4,72
Genovera,Kathie,540.74,96
Tersina,Sikorski,312.56,99
Kimberley,Estella,744.26,83
Lorenza,Jeanne,104.14,79
Alisha,Delacourt,940.18,42
Adelle,Douglass,933.15,80
Anthia,Loleta,708.21,28
Maridel,Buckler,983.81,66
Frieda,Kiyoshi,243.09,50
Nickie,Autrey,781.48,88
Ellette,Nea,295.14,97
Esmeralda,Masao,646.49,90
Gerianna,Kathie,259.36,73
Etta,Kelula,642.02,43
Veda,Pandolfi,962.47,71
Vita,Herrera,581.83,84
Elfreda,Stav,958.6,40
Emelina,Maribeth,111.41,55
Stacey,Rustice,458.63,13
Ayn,Michella,712.68,100
Phylis,Carri,704.1,29
Ursulina,Curren,684.04,41
Katuscha,Emmy,311.27,74
Frances,Cohdwell,486.04,52
Flo,Freddi,152.88,19
Hermione,Old,204.87,71
Aurore,Pierette,538.39,12
Emelina,Dulciana,877.85,90
Nonnah,Lipson,898.15,85
Gaylene,Calhoun,492.07,46
Doralynne,Schonfeld,990.79,80
Tracey,Vorster,153.46,86
Dominga,Wu,850.09,64
Rivalee,Blase,332.76,18
Leontine,Sabella,780.38,100
Rubie,Estella,994.75,34
Valera,Nahum,607.08,14
Cam,Jagir,513.53,65
Camile,O'Carroll,513.86,91
Winny,Edvard,347.03,21
Maryellen,Anyah,375.98,94
Arlena,Mauer,160.19,12
Lenna,Bronk,461.36,48
Libbie,Roche,778.67,41
Nelle,Roxanna,510.46,94
Ardeen,Lewes,268.92,47
Mara,Pip,391.69,70
Wendi,Destinee,456.78,19
Sharlene,Zola,864.37,98
Lyssa,Marden,684.49,87
Linzy,Ioab,497.22,100
Codie,Billye,234.26,89
Gwenneth,Belanger,217.15,35
Riannon,Publia,666.81,10
Lolita,Pond,314.07,36
Janis,Gibbeon,430.98,18
Trudie,Katrine,497.34,70
Mallory,Felizio,957.79,59
Jennica,Dimitris,415.22,37
Frances,Yate,435.89,51
Marline,Ariella,807.3,27
Nariko,Jerold,600.99,68
Florencia,Lynn,396.81,17
Bibby,Tybald,219.03,34
Ileana,Henebry,367.31,20
Aimil,Jotham,456.2,57
Kylynn,Breed,630.54,58
Sheree,Cristi,744.94,57
Courtnay,Colyer,927.95,55
Cathie,Ledah,148.96,61
Dale,Konyn,790.63,95
Marnia,Hepsibah,324.34,48
Kalina,Bahr,432.23,79
Berta,Lorenz,734.37,16
Pamella,Sinegold,668.96,89
Linet,Kenwood,733.35,80
Louella,Dorine,227.57,44
Tatiania,Rhu,490.78,18
Michaelina,Hanshaw,906.19,51
Teriann,Levey,214.27,29
Hyacinthe,Olnee,895.2,66
Emma,Flita,930.74,50
Ardys,Kaja,566.06,52
Genevra,Reneta,573.49,63
Candi,Han,535.04,31
Isa,Kalinda,174.18,11
Laure,Larochelle,264.36,10
Mariele,Natica,772.44,51
Mary,Zetta,277.92,89
Sabina,Tacye,734.13,94
Karlee,Gabrielli,136.62,53
Emylee,Bebe,166,57
Calla,Noam,781.51,41
Hallie,Harriman,585.17,13
Johna,Cottle,644.27,54
Lorne,Allys,174.55,56
Lizzie,Ethban,301.4,39
Roslyn,Robertson,804.59,19
Evaleen,Frendel,449.78,13
Tani,Hurley,949.3,47
Orelia,Stevy,276.21,93
Imojean,Lorain,956.91,14
Marinna,Alfons,925.54,62
Asia,Parsaye,627.52,17
Katharina,Rheingold,333.54,99
Chandra,Fillbert,624.49,45
Justinn,Buttaro,762.36,25
Nerta,Fabiola,518.94,79
Harrietta,Dorothy,870.9,59
Cristabel,Magdalen,894.67,71
Starla,Hunfredo,587.75,54
Wynne,Soneson,478.37,41
Zaria,Olin,714.41,45
Dawn,Merell,761.97,76
Gusty,Drisko,829.33,64
Shaylyn,Tillford,774.95,22
Jsandye,Hertzfeld,718.58,99
Merle,Charmine,357.96,56
Beverley,Sherrie,654.67,44
Evaleen,Thema,885.71,38
Cassondra,McGrody,190.95,76
Tracey,Zuzana,939.56,78
Darci,Ummersen,370.77,48
Alexine,Israeli,146.47,49
Veda,Erskine,603.84,29
Danny,Bergman,527.53,12
Marjie,Anis,311.84,39
Arabel,Noman,105.55,85
Averyl,Crudden,770.23,71
Felice,Primalia,951.84,56
Tracey,Calhoun,285.05,29
Tersina,Mathilde,257.63,49
Vere,Blisse,619.42,89
Candy,Brieta,997.57,74
Nataline,Llovera,240.45,11
Mariele,Marlie,677.77,64
Anallese,Nahum,127.51,96
Anthia,Waldron,309.53,85
Wynne,Elisha,552.39,51
Jacenta,Nance,841.33,96
Lusa,Hashim,658.82,50
Reeba,Joli,743.01,99
Norine,Posner,103.59,11
Rhoda,Yusuk,619.14,73
Myrtice,Bryna,133.29,77
Hannis,Merriott,280.17,12
Kassey,Koehler,740.45,78
Marcelline,Bari,743.75,71
Oralee,Kunin,510.22,46
Sheelagh,Hachmin,757.49,20
Donetta,Joseph,653.74,96
Dulcinea,Goerke,348.63,28
Marsiella,Loleta,402.27,58
Glenda,Greenwald,401.61,18
Rebeca,Atcliffe,938.48,78
Bill,Jehu,934.52,76
Tilly,Haldas,134.3,52
Jordan,Kauppi,259.58,22
Ardeen,Bronk,667.43,77
Catharine,Marcellus,508.89,24
Marleah,Schlosser,194.51,35
Sophia,Brittani,474.59,56
Gerrie,Monk,981.17,41
Alameda,Gillan,191.58,76
Kamilah,Amasa,605.06,83
Sarette,Melan,982.85,61
Katharina,Orelee,468.62,20
Madelle,Pandolfi,915,33
Philis,Waite,431.2,21
Max,Janene,858,62
Florencia,Hilbert,895.87,79
Briney,Brodench,349.41,40
Elsie,Percy,576.29,48
Delilah,Clara,280.19,92
Renie,Klemperer,887.95,30
Natka,Halla,275.77,80
Rozele,Fabiola,781.23,85
Evaleen,Huggins,986.7,13
Daune,Breed,189.25,10
Fawne,Martsen,326.69,67
Roz,Niccolo,585.69,79
Leona,Reinke,402.31,40
Aeriela,Erminia,801.58,36
Alexine,Marisa,408.86,50
Brena,Diann,428.35,94
Beatriz,Dominy,533.97,44
Inga,Greenwald,501.8,29
Linet,Corrine,627.49,98
Margette,Koehler,503.3,50
Kamilah,Persse,123.13,97
Jerry,Goode,709.77,84
Hallie,Leary,203.39,64
Minne,Seessel,757.34,60
Paule,Zachary,409.29,21
Evita,Garlinda,255.97,85
Theodora,Dorcy,579.9,62
Gabriellia,Rooney,416.98,40
Jacenta,Carleen,786.15,87
Berget,Brunell,133.06,67
Monika,Rosette,392.61,75
Philis,Irmine,700.67,48
Adelle,Lutero,445.69,11
Ilse,Ader,512.72,33
Brooks,Pauly,613.68,60
Orsola,Manolo,245.8,24
Phedra,Dawkins,751.64,81
Marti,Karylin,839.38,46
Judy,Claudine,373.73,54
Bill,Holbrook,769.81,55
Maridel,Brandice,722.82,26
Jacenta,Irmine,823.36,45
Giustina,Liva,948.76,61
Glynnis,Bach,703.9,40
Cherilyn,Nedrud,542.83,15
Alejandra,Dearborn,302.67,34
Riannon,LaRue,710.79,85
Ileana,Allina,851.29,14
Jean,Papageno,1000.06,29
Marika,Louanna,169.21,22
Meghann,Cloris,345.14,23
Aubrie,Bollay,284.21,13
Lenna,Corabella,410.18,34
Dulcinea,Sigfrid,944.2,94
Eugine,Stacy,630.95,84
Jaime,Hull,730.83,53
Aurore,Revkah,230.7,50
Joleen,Fiester,111.75,80
Catrina,Ramona,773.45,36
Beatriz,Gillan,176.31,94
Michaelina,Pearse,184.17,61
Dulcinea,Juliet,670.39,95
Ebonee,Manolo,593.96,65
Dianemarie,Gert,160.74,61
Drucie,Macey,388.64,80
Suzette,Ranjiv,269.71,35
Ilse,Karl,232.08,77
Dorene,Maurine,474.27,12
Sibella,Shaddock,964.58,86
Marsiella,Madox,718.22,98
Daune,Donell,942.41,61
Aurelie,Bach,462.85,80
Lynde,Fredi,690.94,69
Deane,Voletta,837.59,11
Kellen,Iphlgenia,923.61,11
Edith,Jacqui,850.15,65
Rhea,Cecile,352.47,10
Aurelie,Codding,600.84,25
Teddie,Gemini,171.61,21
Noelle,Forrer,717.53,75
Ninnetta,Mich,607.83,71
Correy,Plato,681.51,80
Ebonee,Seagraves,344.87,12
Dede,Ashely,560.42,93
Lindie,Raimondo,518.61,51
Nollie,Hurley,601.26,39
Arlina,Longfellow,953.33,96
Ginnie,Lacombe,850.43,26
Rani,Schwejda,114.7,37
Olwen,Vivle,256.08,86
Elora,Olin,869.65,72
Flo,Desai,225.14,40
Britni,Neils,666.73,88
Jennica,Honoria,288.79,69
Tybie,Randene,469.92,16
Gianina,Frodi,949.93,56
Silvana,Yerkovich,578.21,87
Nickie,Eno,826.62,32
Myrtice,Havens,387.44,77
Jordan,Burkle,959.34,99
Micheline,Zamora,947.5,14
Dorene,Cullin,671.13,88
Cacilie,Alfons,724.61,84
Harrietta,Ellord,932.46,23
Alia,Ries,690.84,13
Minda,Primalia,962.15,21
Collen,Jacqui,719.99,54
Dawn,Cadmar,805.1,75
Kristina,O'Carroll,205.61,57
Helena,Ortrude,522.84,46
Riannon,Emmy,507.77,95
Wynne,Bebe,670.39,82
Roseline,Ariella,998.73,10
Annabela,Mehalek,441.9,29
Minda,Jarib,226.25,82
Marleah,Oscar,188.48,97
Alameda,Hailee,883.54,93
Kary,Waite,942.6,19
Joleen,Lemuela,587.29,94
Rosabelle,Paine,572.95,28
Sam,Pip,461.41,84
Joleen,Audly,954.31,59
Raina,Winnick,340.26,32
Genovera,Socha,795.92,56
Binny,Fitzsimmons,907.57,80
Blondelle,Nunci,799.17,78
Kaja,Poll,672.52,40
Bobbi,Dunkin,235.08,65
Kellen,Shelba,292.87,80
Reeba,Hazlett,278,48
Roz,Obed,218.22,31
Joceline,Ethban,407.99,42
Ninnetta,Merat,782.56,44
Angelique,Voletta,806.25,15
Margarette,Ortrude,691.77,49
Jillayne,Robertson,590.74,12
Dulcinea,Margarete,663.19,30
Ricky,Hoban,552.78,99
Mariele,Uird,393.09,26
Audrie,Franza,691.82,57
Fawne,Jerald,953.45,64
Cassandra,Adore,751.16,26
Linet,Winnick,419.39,56
Dorene,Dawkins,755.94,21
Renae,Lissi,582.32,82
Danny,Wiener,590.32,80
Fawne,Greyson,265.34,18
Dulce,Gemini,554.85,64
Allyce,Rad,940.16,19
Jan,Love,342.09,95
Joane,Melan,993.52,32
Norine,Alrich,486.75,89
Viviene,Tjon,157.12,21
Celene,Cleo,770.62,51
Kenna,Emmaline,422.76,94
Elka,Yam,575.46,44
Zondra,Sherrie,970.54,54
Daune,Peonir,648.34,64
Corina,Dyche,345.63,46
Moyna,Gert,613.49,94
Mellicent,Arne,371.7,55
Augustine,Lucienne,107.41,12
Zaria,Amasa,930.66,24
Felice,Montgomery,529.29,89
Jeanna,Olympium,689.3,99
Dione,Travax,850.71,65
Roslyn,Federica,488.21,27
Clementine,Munn,598.82,10
Ezmeralda,Heidt,957.64,63
Steffane,Primalia,856.96,81
Carlie,Albertine,597.73,49
Leona,Burch,606.83,92
Loree,Xerxes,929.05,21
Correy,Barbey,454.09,96
Danika,Tacye,488.66,42
Aurelie,Israeli,273.84,99
Kalina,Rheingold,328.8,91
Angelique,Hylan,888.05,33
Lynnea,Alarise,592.54,60
Sallie,Blase,824.73,91
Gabriellia,Phi,162.22,83
Constance,Weaks,551.56,46
Collen,Baptlsta,604.25,27
Judy,Brittani,917.28,85
Judy,Deny,299.24,14
Vivia,Frendel,852.05,26
Mathilda,Belldas,902.97,69
Calla,Agle,574.89,41
Tracey,Eliathas,473.49,95
Catharine,Reidar,508.95,72
Ekaterina,Randene,132.77,21
Layla,Letsou,275.98,91
Ivett,Adrienne,227.79,80
Randa,Fabiola,641.94,73
Jennica,Tryck,288.53,22
Cissiee,Loeb,510.31,22
Shannah,Phyllis,484.76,65
Celene,Berriman,144.26,87
Caressa,Vittoria,643.98,13
Gabriellia,Strephon,678.12,97
Gilda,Remmer,845.44,68
Melina,Charity,800.65,70
Shandie,Persse,848.7,77
Nollie,Kendrick,987.58,40
Zia,Cath,842.57,48
Vevay,O'Neill,664.76,100
Melisent,Weaks,888.61,31
Thalia,Peg,985.12,73
Rayna,Heidt,524.05,42
Aimil,Bouchard,523.43,86
Trudie,Lauraine,824.59,55
Kara-Lynn,Tamsky,278.68,47
Celestyna,Erich,615.61,41
Vivia,Nea,678.01,23
Lenna,Morrill,606.58,99
Darlleen,Emerson,998.72,11
Dale,Malanie,682.72,47
Bernardine,Ovid,617.44,27
Concettina,Chobot,346.18,32
Elka,Kronfeld,297.4,21
Catharine,Cleo,256.09,60
Dania,Arquit,770.03,55
Fernande,Greyson,930.16,100
Alleen,Gunn,403.05,38
Alie,Maisey,183.56,59
Ardys,Glovsky,158.72,76
Wynne,Noelyn,783.56,51
Basia,Dorine,305.24,88
Mahalia,Phi,706.67,82
Daryl,Tamar,922.1,31
Daryl,Palocz,188.91,31
Dorthy,Kannry,375.4,58
Kaja,Orpah,237.75,76
Jacquetta,Longfellow,171.8,78
Felice,Santoro,197.27,56
Kamilah,Bivins,384.27,33
